des,year,month,day_of_year,days_from_now,dist_km,diameter_km,v_rel,h,threat_score,kinetic_energy_megatons,india_visible,best_observatory,threat_category
2021 JR3,2021,5,132,-1779.0597129443406,779910.4563886386,3.5136995297874286e-05,17.7997255588572,24.92,8.019239492711194e-10,1.2899958619081347e-09,0,2,watch
2021 JC,2021,5,132,-1778.9138796110071,5247776.0207698215,3.386605587103022e-05,11.2999260595794,25.0,7.292306793537437e-11,4.6549273577340244e-10,0,2,monitor
2021 JO5,2021,5,132,-1778.8347129443405,6846205.429410554,4.505724365310508e-05,8.77130856656626,24.38,5.772701262257782e-11,6.605268609387815e-10,0,2,monitor
2021 JO3,2021,5,132,-1778.7999907221183,4484311.825376102,2.1172133342583797e-05,10.5718128312767,26.02,4.991352957883478e-11,9.955444044234756e-11,0,2,watch
2021 JD,2021,5,132,-1778.6888796110072,6357913.288745427,1.613483841784226e-05,2.85580640300198,26.61,7.247342449077123e-12,3.2152831944912904e-12,0,4,monitor
2021 JN3,2021,5,132,-1778.2812407221184,1164686.1088504554,1.5695119277045968e-05,11.6893287011632,26.67,1.575234793642671e-10,4.958391868891003e-11,0,2,watch
2021 JG2,2021,5,132,-1778.190268499896,4902405.22880141,1.7209356073147527e-05,9.67077022692218,26.47,3.394817861219266e-11,4.4738748803216234e-11,0,2,watch
2021 JC1,2021,5,132,-1778.1458240554516,5554404.541618291,4.403161557148918e-05,21.0570420651608,24.43,1.6692618881801898e-10,3.552682805026274e-09,0,2,monitor
2021 JG9,2021,5,133,-1778.0951296110072,2704219.1134518757,3.08862100406124e-05,15.6652267301188,25.2,1.78920221631987e-10,6.786331566822596e-10,0,2,watch
2021 LM,2021,5,133,-1777.5326296110072,3641629.1119970563,1.8271096885111613e-05,5.73617968808228,26.34,2.8780057388624416e-11,1.8836803146527067e-11,0,3,watch
2021 JX5,2021,5,133,-1777.2520740554517,3727144.278503962,1.398828977978826e-05,7.31533106528664,26.92,2.745506026329372e-11,1.3747688259286296e-11,0,0,watch
2021 JB6,2021,5,133,-1777.185407388785,105662.63963775073,5.939701506648357e-06,8.97940236939371,28.78,5.047665850970691e-10,1.5858297841983423e-12,0,0,watch
2021 JY3,2021,5,134,-1777.0951296110072,1076018.6922375858,6.9145611308180755e-06,3.86212336567751,28.45,2.481823810254175e-11,4.628219936505718e-13,0,0,watch
2021 JH3,2021,5,134,-1777.061796277674,2159389.385619353,1.3482319680622481e-05,11.4867733944837,27.0,7.171858490861257e-11,3.034993824911336e-11,0,0,watch
2021 KB,2021,5,134,-1777.0492962776739,1538687.6069374455,2.1172133342583797e-05,12.8823933887545,26.02,1.7725999050658412e-10,1.4782735918947717e-10,0,0,watch
2015 KJ19,2021,5,134,-1776.7208240554517,5768665.473625167,0.00010660182027329616,23.040189809874,22.51,4.257702555997461e-10,6.03578567135575e-08,1,0,monitor
2021 JU3,2021,5,134,-1776.540268499896,697550.6676349884,1.293494601588891e-05,11.8286585243803,27.09,2.193432915375062e-10,2.8420564099041705e-11,1,0,watch
2021 JU6,2021,5,134,-1776.5145740554517,66148.70111028566,1.2875515337365378e-05,11.6019583212314,27.1,2.2582634246957426e-09,2.6966482850060952e-11,1,0,watch
2021 JC4,2021,5,134,-1776.3492962776738,2333879.655752788,1.9668200211683084e-05,13.8092601569854,26.18,1.1637416388344239e-10,1.3617661282107237e-10,1,0,watch
2021 JH4,2021,5,134,-1776.3333240554516,2236214.7296212916,2.5454502922765937e-05,9.47662162311773,25.62,1.0787098824111975e-10,1.3901727972339166e-10,1,0,watch
2021 LT,2021,5,134,-1776.309018499896,6594769.126711871,2.5690030538448946e-05,10.6238235456694,25.6,4.138527764647008e-11,1.7960705924056447e-10,1,0,monitor
2021 KJ,2021,5,135,-1776.079157388785,5162897.984534047,3.1171996623458765e-05,7.09915436205637,25.18,4.286251955129531e-11,1.4327649326909993e-10,0,2,monitor
2021 JL5,2021,5,135,-1775.9479073887849,1714524.87711769,9.633067878780354e-06,9.7147500580359,27.73,5.458237905055571e-11,7.918172661167304e-12,0,2,watch
2021 KH,2021,5,135,-1775.6812407221182,1524736.6735491087,1.818714882039468e-05,8.50160634754342,26.35,1.0140766109814715e-10,4.080972687821763e-11,0,2,watch
2021 JH83,2021,5,135,-1775.4506851665628,154837.69385298385,1.0858369608127248e-06,7.44972813272324,32.47,5.2243029156697634e-11,6.668721070032259e-15,0,2,watch
2021 JO2,2021,5,135,-1775.427768499896,3706517.5795900715,1.7448762063760924e-05,7.62241014428476,26.44,3.588317554256194e-11,2.896985566718718e-11,0,2,watch
2021 JR2,2021,5,135,-1775.335407388785,5651975.641777932,4.342747915735952e-05,11.8640532139672,24.46,9.115855345570653e-11,1.082001534088418e-09,0,2,monitor
2021 JR57,2021,5,135,-1775.2701296110072,3455788.728302733,4.0715954514505866e-05,12.8765605250206,24.6,1.517110835932134e-10,1.0504162983244493e-09,1,2,watch
2021 JM3,2021,5,136,-1775.1381851665628,2703173.71112421,1.3054631597782007e-05,8.02236527383651,27.07,3.874298672030957e-11,1.343898809802079e-11,1,2,watch
2021 KR1,2021,5,136,-1775.0770740554517,1423838.383439709,1.008706038118304e-05,8.03157925121336,27.63,5.6899031382712076e-11,6.213890597923741e-12,1,2,watch
2021 JR7,2021,5,136,-1774.8145740554517,2074910.5777367859,2.816855834366184e-05,4.90641315762543,25.4,6.660845376740584e-11,5.049983245617721e-11,0,4,watch
2021 JE2,2021,5,136,-1774.5722129443404,4666402.143578108,2.7527363674091722e-05,12.5357119845662,25.45,7.394885654844716e-11,3.07651980638761e-10,0,3,watch
2021 JU2,2021,5,136,-1774.4701296110072,5739548.324631297,2.778207123415953e-05,9.3044733119013,25.43,4.503795869062289e-11,1.7423896940855094e-10,0,0,monitor
2021 JN10,2021,5,136,-1774.343046277674,1547854.0515447536,3.1751527309107045e-05,14.183068771412,25.14,2.9094092881237697e-10,6.043689194714263e-10,0,0,watch
2021 KQ22,2021,5,136,-1774.2867962776738,303477.30693627015,1.3236239613589003e-06,9.15829639912184,32.04,3.994414172671644e-11,1.825538911636349e-14,0,0,watch
2021 KG,2021,5,137,-1773.7284629443404,646786.3938490042,9.157240503184964e-06,8.16687608094514,27.84,1.1562712070653505e-10,4.806994624104976e-12,1,3,watch
2021 JA5,2021,5,137,-1773.3249907221184,2911529.473502569,1.793761178367717e-05,10.7023277228859,26.38,6.593586004261467e-11,6.204662966870195e-11,0,0,watch
2021 JY5,2021,5,138,-1772.7888796110071,1361071.511178447,1.095884086508977e-05,2.97462498637175,27.45,2.3950572465324294e-11,1.0930150649173104e-12,1,1,watch
2021 JF3,2021,5,138,-1772.772907388785,4549393.84410914,4.8502555414611287e-05,11.7266900097611,24.22,1.2502202524516392e-10,1.4726942609804964e-09,1,0,watch
2021 JR4,2021,5,138,-1772.7173518332295,2726607.922095993,3.2791751978824815e-05,7.64186705773715,25.07,9.19054797654351e-11,1.9326831529226624e-10,1,0,watch
2021 KQ1,2021,5,138,-1772.4263796110072,1270881.7697787255,8.866753203692616e-06,10.9417578464085,27.91,7.63390181098933e-11,7.833140255241526e-12,1,0,watch
2021 KS1,2021,5,138,-1772.3909629443406,2733063.55740779,7.477641165191712e-06,3.82418196084163,28.28,1.0462932841816182e-11,5.739034052817333e-13,1,0,watch
2021 JC9,2021,5,138,-1772.321518499896,5029787.957248495,2.8298578501420906e-05,12.55595521531,25.39,7.064227902663871e-11,3.353213612723035e-10,1,0,monitor
2021 KJ2,2021,5,138,-1772.2888796110071,1869482.9085617452,1.8525273161712654e-05,14.8174376831327,26.31,1.4683048418338715e-10,1.310110488203945e-10,1,0,watch
478784,2021,5,138,-1772.2673518332294,6050649.879521733,2.5690030538448946e-05,4.96964728537,25.6,2.1100277336914223e-11,3.9301835829945944e-11,1,0,monitor
2021 LR2,2021,5,139,-1771.8472129443405,5871297.260802874,3.402237448248736e-05,8.38176569009785,24.99,4.856977231195031e-11,2.596765524931021e-10,1,0,monitor
2021 KA,2021,5,139,-1771.4742962776738,1519301.2041882472,9.677532099846363e-06,5.13076098023163,27.72,3.268154066221525e-11,2.2393669847567454e-12,0,2,watch
2021 KK1,2021,5,140,-1770.8590184998961,4963975.431394541,3.131588002243141e-05,6.74492020704076,25.17,4.255120011849501e-11,1.3113400858150797e-10,0,2,watch
2021 JJ3,2021,5,140,-1770.8229073887849,6587964.023586914,2.8298578501420906e-05,6.26368610491465,25.39,2.6905643733567073e-11,8.344910357289609e-11,0,2,monitor
2021 JE1,2021,5,140,-1770.309018499896,2844564.1273485953,1.613483841784226e-05,7.63173421136027,26.61,4.3288459263174364e-11,2.2961918881207158e-11,0,2,watch
2021 LP,2021,5,141,-1769.8548518332293,4346452.5444120485,4.362793129346933e-05,13.2338045330128,24.45,1.328355731525849e-10,1.3649952371102245e-09,0,2,watch
2021 JQ6,2021,5,141,-1769.4909629443405,2268297.410964791,2.5221134637242833e-05,19.4144016978371,25.64,2.1586818234492348e-10,5.67557317080174e-10,0,2,watch
